Facility Number,Facility Name,Facility Type,Better Beginnings,Address,County,Director,Owner,Phone,Email Address,Website Address,Total Allowed Capacity,Voucher Participant,CACFP Facility,ABC Facility
30498,Creative Kids Child Care,Licensed Child Care Family Home,Level 6,"121 Alabama Dr, Jacksonville, AR, 72076-1002",Pulaski,,Malissa Kaye,(501) 988-9609,stevenkaye2004@msn.com,,6,FALSE,FALSE,FALSE
26615,Episcopal Collegiate School,Child Care Center,Level 6,"1701 Cantrell Road, Little Rock, AR, 72201",Pulaski,Catherine Schuhmacher,Episcopal Collegiate School,(501) 372-1194,cschuhmacher@episcopalcollegiate.org,,90,FALSE,FALSE,FALSE
25368,Chenal Valley-Mont,Child Care Center,Level 6,"14929 Cantrell Rd, Little Rock, AR, 72223-4255",Pulaski,Shelby Crowson,Dorothy Moffett,(501) 868-6030,chenalvalleymontessori@yahoo.com,,84,TRUE,FALSE,FALSE
22826,Pre-K PCSSD Sylvan Hills Elementary,Child Care Center,Level 6,"402 Dee Jay Hudson Dr, Sherwood, AR, 72120-2302",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 833-1140,nstolzer3086@pcssd.org,,26,FALSE,TRUE,TRUE
8561,Pre-K PCSSD Clinton Elementary,Child Care Center,Level 6,"142 Hollywood Ave, Sherwood, AR, 72120-4162",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 833-1200,nstolzer3086@pcssd.org,,143,FALSE,FALSE,TRUE
7780,Our House Children's Programs,Child Care Center,Level 6,"302 E Roosevelt Rd Building 9, Little Rock, AR, 72206-2304",Pulaski,Leslie Manchester Harber,Our House Inc.,(501) 374-7383,leslie.harber@ourhouseshelter.org,,577,TRUE,TRUE,TRUE
1637,Second Presbyterian Preschool,Child Care Center,Level 6,"600 Pleasant Valley Dr, Little Rock, AR, 72227-2149",Pulaski,Jamie Holstead,Second Presbyterianpreschool Church Inc.,(501) 227-6034,jamie@spplr.org,www.spplr.org,345,FALSE,FALSE,FALSE
490,Rockefeller Early Childhood Education Program,Child Care Center,Level 6,"700 E 17th St, Little Rock, AR, 72206-1606",Pulaski,Esther Jones,Little Rock School Board,(501) 447-6202,ann.freeman@lrsd.org,,366,TRUE,TRUE,TRUE
48046,DREAM Early Childhood & Afterschool Academy,Child Care Center,Level 5,"8324 AR-107 Building B, Sherwood, AR, 72120",Pulaski,"Javonne ""Jody"" Abernathy",D.R.E.A.M.,(501) 414-9503,dreamnlr@yahoo.com,dreamarkansas.org,309,TRUE,FALSE,TRUE
35414,Leap Forward CDC 2,Child Care Center,Level 5,"3801 JFK Blvd, North Little Rock, AR, 72116",Pulaski,LaAngela Medley,Leap Forward CDC,(501) 747-1048,leap.forward@yahoo.com,,55,TRUE,TRUE,TRUE
